Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave,RF_Predicted_Species_Population,RF_Prediction_Confidence,Risk_Cluster
2016-01-17,Hawaiian Islands,19.8864,-155.6075,27.62,8.11,Medium,134,False,132.52021645021642,0.7679702990689681,Stable
2016-01-24,Red Sea,19.9654,38.545,28.96,8.081,High,124,False,124.8143611111111,0.7679702990689681,At-Risk
2016-01-31,Galápagos,-0.9952,-90.9936,29.62,8.058,Unknown,108,False,112.14796149382019,0.7679702990689681,At-Risk
2016-02-06,Hawaiian Islands,19.9027,-155.5189,27.61,8.095,Medium,125,False,129.8593235930736,0.7679702990689681,At-Risk
2016-02-13,South China Sea,9.9891,115.0549,29.74,8.066,Medium,127,False,125.299869047619,0.7679702990689681,At-Risk
2016-02-19,Great Barrier Reef,-18.286,147.7333,28.03,8.076,Unknown,122,False,122.81441666666666,0.7679702990689681,At-Risk
2016-02-26,South China Sea,10.0048,115.0298,27.27,8.179,Unknown,117,False,126.99154725829723,0.7679702990689681,At-Risk
2016-03-04,South China Sea,9.9393,115.0579,29.69,8.057,Unknown,117,False,119.98361111111107,0.7679702990689681,At-Risk
2016-03-10,Red Sea,19.9994,38.4551,28.61,8.014,Medium,133,False,129.0011103411514,0.7679702990689681,At-Risk
2016-03-17,Red Sea,19.9926,38.4587,28.02,8.08,Low,116,False,119.98173484848489,0.7679702990689681,At-Risk
2016-03-23,Great Barrier Reef,-18.3282,147.7114,28.87,8.017,Unknown,109,False,113.75978751803748,0.7679702990689681,At-Risk
2016-03-30,Maldives,3.2144,73.1483,26.39,8.056,Medium,137,False,142.9636215728716,0.7679702990689681,Stable
2016-04-05,Galápagos,-0.9383,-90.8918,29.79,8.016,Medium,106,False,110.77613888888887,0.7679702990689681,Critical
2016-04-12,Great Barrier Reef,-18.3372,147.6983,28.07,8.075,Medium,111,False,119.01406313131312,0.7679702990689681,At-Risk
2016-04-19,Hawaiian Islands,19.9228,-155.5062,28.34,8.073,Medium,131,False,119.2052166400851,0.7679702990689681,At-Risk
2016-04-25,Galápagos,-0.9739,-90.9544,28.52,8.055,Medium,108,False,115.1594523809524,0.7679702990689681,At-Risk
2016-05-02,Maldives,3.204,73.2456,30.68,8.054,High,130,True,108.14912301587302,0.7679702990689681,Critical
2016-05-08,Great Barrier Reef,-18.3255,147.7428,28.78,8.154,Unknown,105,False,113.86808369408371,0.7679702990689681,At-Risk
2016-05-15,Galápagos,-0.9958,-90.9956,25.31,8.087,Unknown,140,False,157.697246031746,0.7679702990689681,Stable
2016-05-22,Caribbean Sea,15.0075,-74.9829,31.31,8.041,Low,83,True,102.47388492063493,0.7679702990689681,Critical
2016-05-28,South China Sea,9.9551,115.0246,26.52,8.181,Unknown,157,False,140.75463888888896,0.7679702990689681,Stable
2016-06-04,Caribbean Sea,14.9765,-75.0857,30.53,8.004,Medium,118,True,103.51677128427129,0.7679702990689681,Critical
2016-06-10,Galápagos,-1.0335,-90.9956,28.51,8.052,Low,113,False,113.66299494949497,0.7679702990689681,At-Risk
2016-06-17,Caribbean Sea,15.0311,-75.0534,28.29,8.06,Unknown,129,False,126.85434186445896,0.7679702990689681,At-Risk
2016-06-23,Great Barrier Reef,-18.2515,147.643,26.2,8.16,Low,147,False,138.82804761904765,0.7679702990689681,Stable
2016-06-30,Maldives,3.1654,73.2983,28.67,8.105,Unknown,119,False,118.99701046176045,0.7679702990689681,At-Risk
2016-07-07,Great Barrier Reef,-18.1841,147.787,28.13,8.106,Unknown,133,False,126.35150000000002,0.7679702990689681,At-Risk
2016-07-13,Maldives,3.2712,73.1725,29.53,8.082,High,83,False,95.79578102453107,0.7679702990689681,Critical
2016-07-20,South China Sea,9.9408,114.898,28.1,8.094,Unknown,146,False,134.03451046176045,0.7679702990689681,Stable
2016-07-26,Great Barrier Reef,-18.2834,147.7806,26.43,8.006,Unknown,139,False,144.1438373015873,0.7679702990689681,Stable
2016-08-02,Red Sea,20.0192,38.4984,25.4,8.108,Low,131,False,138.1032817460318,0.7679702990689681,Stable
2016-08-09,Galápagos,-0.9203,-90.9473,27.09,8.053,High,118,False,122.64740476190477,0.7679702990689681,At-Risk
2016-08-15,Great Barrier Reef,-18.2902,147.747,27.02,8.105,Low,126,False,135.85717460317454,0.7679702990689681,Stable
2016-08-22,Galápagos,-0.9934,-90.971,26.95,8.053,Low,117,False,124.00687301587298,0.7679702990689681,At-Risk
2016-08-28,Maldives,3.301,73.2225,27.45,8.082,Medium,128,False,128.61846031746035,0.7679702990689681,At-Risk
2016-09-04,Caribbean Sea,14.989,-74.9693,29.64,8.001,Unknown,100,False,111.02996320346323,0.7679702990689681,Critical
2016-09-11,Caribbean Sea,14.9862,-75.1151,26.23,8.164,Low,167,False,149.36223809523813,0.7679702990689681,Stable
2016-09-17,Red Sea,19.9875,38.5288,28.97,8.195,Unknown,132,False,124.00645482295485,0.7679702990689681,At-Risk
2016-09-24,Caribbean Sea,14.9936,-75.0478,26.09,8.108,Low,132,False,140.25332215007217,0.7679702990689681,Stable
2016-09-30,Hawaiian Islands,19.8257,-155.6151,26.88,8.167,Medium,149,False,145.59860714285713,0.7679702990689681,Stable
2016-10-07,South China Sea,9.9996,115.074,28.62,8.005,Unknown,141,False,128.52558333333332,0.7679702990689681,At-Risk
2016-10-13,Great Barrier Reef,-18.2602,147.6473,28.21,8.012,Medium,102,False,110.71767857142855,0.7679702990689681,Critical
2016-10-20,Great Barrier Reef,-18.2408,147.7947,26.4,8.12,High,131,False,137.69982395382397,0.7679702990689681,Stable
2016-10-27,Great Barrier Reef,-18.3115,147.6696,27.2,8.078,Low,120,False,126.03797835497834,0.7679702990689681,At-Risk
2016-11-02,Hawaiian Islands,19.9103,-155.5853,28.14,8.012,Low,114,False,117.71620634920635,0.7679702990689681,At-Risk
2016-11-09,South China Sea,10.0378,115.025,27.03,8.084,Low,145,False,133.66459523809522,0.7679702990689681,Stable
2016-11-15,Great Barrier Reef,-18.3706,147.7264,27.51,8.098,Low,118,False,133.02130555555559,0.7679702990689681,Stable
2016-11-22,Galápagos,-1.044,-91.047,28.57,8.062,Unknown,105,False,112.74842857142856,0.7679702990689681,At-Risk
2016-11-29,South China Sea,10.0319,114.9169,28.4,7.991,High,111,False,113.28380731084837,0.7679702990689681,At-Risk
2016-12-05,Maldives,3.2052,73.1777,27.92,8.112,Unknown,117,False,125.08619841269844,0.7679702990689681,At-Risk
2016-12-12,Galápagos,-0.912,-91.0221,29.29,8.106,Low,74,False,96.17872222222222,0.7679702990689681,Critical
2016-12-18,Caribbean Sea,14.9602,-74.9711,28.2,8.075,Unknown,113,False,114.10789345176057,0.7679702990689681,At-Risk
2016-12-25,Great Barrier Reef,-18.2828,147.6914,30.25,8.028,Unknown,107,True,104.48252380952381,0.7679702990689681,Critical
2016-12-31,Great Barrier Reef,-18.3077,147.6748,27.85,8.083,Low,120,False,121.9827092352092,0.7679702990689681,At-Risk
2017-01-07,Great Barrier Reef,-18.2726,147.803,29.81,8.008,High,124,False,118.32002777777774,0.7679702990689681,At-Risk
2017-01-14,Great Barrier Reef,-18.3075,147.5973,26.99,7.987,Unknown,129,False,131.1079112554112,0.7679702990689681,Stable
2017-01-20,Hawaiian Islands,19.8977,-155.499,28.99,8.029,Low,127,False,123.1834398487985,0.7679702990689681,At-Risk
2017-01-27,South China Sea,9.8894,115.0118,29.66,7.953,Medium,125,False,119.10786507936506,0.7679702990689681,At-Risk
2017-02-02,Galápagos,-0.9369,-90.9864,29.45,8.145,Unknown,113,False,109.21619444444447,0.7679702990689681,Critical
2017-02-09,Great Barrier Reef,-18.2747,147.6762,27.23,8.117,High,119,False,122.34357142857144,0.7679702990689681,At-Risk
2017-02-16,Hawaiian Islands,19.9004,-155.6067,29.22,8.052,High,128,False,119.2472360248447,0.7679702990689681,At-Risk
2017-02-22,Hawaiian Islands,19.8713,-155.5963,27.03,8.057,High,140,False,132.7946504329004,0.7679702990689681,Stable
2017-03-01,Galápagos,-0.916,-91.0117,29.8,8.092,High,113,False,111.02581746031746,0.7679702990689681,Critical
2017-03-07,Maldives,3.2966,73.182,26.63,7.998,Unknown,161,False,153.76195634920637,0.7679702990689681,Stable
2017-03-14,Red Sea,20.0327,38.4972,28.92,7.985,High,152,False,138.09907859511964,0.7679702990689681,Stable
2017-03-20,Caribbean Sea,15.0065,-74.9945,29.59,8.052,Unknown,112,False,109.5267485085396,0.7679702990689681,Critical
2017-03-27,South China Sea,9.9605,115.0236,31.32,8.061,Medium,115,True,101.49582539682541,0.7679702990689681,Critical
2017-04-03,Red Sea,19.9744,38.4505,28.31,8.057,Unknown,138,False,131.58688262442368,0.7679702990689681,Stable
2017-04-09,Red Sea,19.9154,38.5765,28.26,8.033,Unknown,107,False,117.2542622170533,0.7679702990689681,At-Risk
2017-04-16,Galápagos,-1.0365,-90.9244,28.61,7.983,Low,99,False,108.14573365523368,0.7679702990689681,Critical
2017-04-22,Hawaiian Islands,19.88,-155.4993,28.11,7.983,Unknown,120,False,122.55158730158729,0.7679702990689681,At-Risk
2017-04-29,Hawaiian Islands,19.8832,-155.7176,28.42,8.04,Low,131,False,120.99239285714282,0.7679702990689681,At-Risk
2017-05-06,Great Barrier Reef,-18.1947,147.7555,28.1,8.003,High,162,False,137.54470490620494,0.7679702990689681,Stable
2017-05-12,South China Sea,10.003,115.0007,28.46,8.061,Low,118,False,116.60453301815146,0.7679702990689681,At-Risk
2017-05-19,South China Sea,9.9713,114.9727,28.45,8.024,High,109,False,114.20851538538251,0.7679702990689681,At-Risk
2017-05-25,Hawaiian Islands,19.9021,-155.5955,30.76,7.872,Unknown,113,True,112.85210317460319,0.7679702990689681,At-Risk
2017-06-01,Hawaiian Islands,19.9591,-155.6865,27.99,8.042,Unknown,104,False,117.0953492063492,0.7679702990689681,At-Risk
2017-06-07,South China Sea,9.9611,114.9445,31.13,8.044,Low,112,True,102.60035714285713,0.7679702990689681,Critical
2017-06-14,Red Sea,20.0361,38.4435,27.71,8.09,Medium,109,False,114.80222222222227,0.7679702990689681,At-Risk
2017-06-21,Galápagos,-0.9182,-90.9776,27.94,8.097,Medium,132,False,128.1907023809524,0.7679702990689681,At-Risk
2017-06-27,South China Sea,9.982,115.058,26.88,8.113,Unknown,145,False,143.620880952381,0.7679702990689681,Stable
2017-07-04,Hawaiian Islands,19.8813,-155.5665,26.62,8.134,Medium,135,False,141.61407142857144,0.7679702990689681,Stable
2017-07-10,Galápagos,-0.9799,-90.9131,27.44,8.001,Unknown,107,False,118.03662554112552,0.7679702990689681,At-Risk
2017-07-17,Hawaiian Islands,19.9271,-155.6468,31.13,7.893,High,119,True,112.60992460317465,0.7679702990689681,At-Risk
2017-07-24,Great Barrier Reef,-18.2765,147.6944,27.68,8.086,High,127,False,127.36397294372294,0.7679702990689681,At-Risk
2017-07-30,Great Barrier Reef,-18.2319,147.7049,28.73,8.027,Low,116,False,116.07137987012985,0.7679702990689681,At-Risk
2017-08-06,Hawaiian Islands,19.9122,-155.6683,26.48,8.128,High,142,False,143.54325,0.7679702990689681,Stable
2017-08-12,Hawaiian Islands,19.8876,-155.5819,29.02,8.013,Low,103,False,108.81380528891401,0.7679702990689681,Critical
2017-08-19,South China Sea,10.0098,114.9511,29.11,7.953,Medium,129,False,120.32580081734186,0.7679702990689681,At-Risk
2017-08-26,Maldives,3.2264,73.2335,29.97,8.104,Low,120,False,117.50628643578642,0.7679702990689681,At-Risk
2017-09-01,Great Barrier Reef,-18.3791,147.6352,27.56,8.07,Low,137,False,130.02115512265513,0.7679702990689681,At-Risk
2017-09-08,South China Sea,9.9637,115.0093,27.37,8.042,Medium,110,False,122.01823376623375,0.7679702990689681,At-Risk
2017-09-14,Hawaiian Islands,19.8506,-155.6504,27.04,8.132,Low,120,False,123.23849783549784,0.7679702990689681,At-Risk
2017-09-21,Maldives,3.3344,73.2454,28.78,8.002,High,127,False,122.2497001679912,0.7679702990689681,At-Risk
2017-09-27,Great Barrier Reef,-18.3159,147.7053,32.34,7.968,Medium,98,True,88.27542857142858,0.7679702990689681,Critical
2017-10-04,Caribbean Sea,14.9648,-75.0017,31.16,7.966,Medium,120,True,108.69636111111116,0.7679702990689681,Critical
2017-10-11,Great Barrier Reef,-18.2517,147.6711,29.45,8.08,Unknown,119,False,113.90157936507939,0.7679702990689681,At-Risk
2017-10-17,Red Sea,19.9215,38.4636,28.13,8.054,Low,133,False,121.37435998040102,0.7679702990689681,At-Risk
2017-10-24,South China Sea,10.0089,114.9332,29.07,8.069,High,122,False,120.36767863441419,0.7679702990689681,At-Risk
2017-10-30,Maldives,3.2568,73.2624,29.19,8.033,Low,88,False,98.76935626189729,0.7679702990689681,Critical
2017-11-06,Great Barrier Reef,-18.2656,147.7096,28.91,7.978,Medium,99,False,110.39193650793646,0.7679702990689681,Critical
2017-11-13,Great Barrier Reef,-18.2344,147.6972,29.52,8.031,High,110,False,113.46355158730157,0.7679702990689681,At-Risk
2017-11-19,Galápagos,-0.9069,-90.9914,28.64,8.024,Low,112,False,114.04749772449773,0.7679702990689681,At-Risk
2017-11-26,Hawaiian Islands,19.8813,-155.5717,27.78,8.127,Medium,113,False,121.38886507936509,0.7679702990689681,At-Risk
2017-12-02,Galápagos,-0.9631,-90.9876,30.67,8.016,Low,113,True,107.85973593073594,0.7679702990689681,Critical
2017-12-09,Galápagos,-1.0281,-90.9522,29.83,8.027,Unknown,122,False,114.33431142167008,0.7679702990689681,At-Risk
2017-12-15,Great Barrier Reef,-18.313,147.7697,31.95,7.963,High,78,True,82.14380086580086,0.7679702990689681,Critical
2017-12-22,Maldives,3.2755,73.2997,27.72,8.045,Unknown,123,False,121.1077831890332,0.7679702990689681,At-Risk
2017-12-29,South China Sea,9.9328,114.9541,26.99,8.042,Low,134,False,134.90513852813854,0.7679702990689681,Stable
2018-01-04,Red Sea,20.0117,38.5775,27.0,8.129,High,131,False,130.3460411255411,0.7679702990689681,At-Risk
2018-01-11,Maldives,3.2003,73.2544,26.82,8.103,Medium,139,False,141.5518134920635,0.7679702990689681,Stable
2018-01-17,Great Barrier Reef,-18.2625,147.7137,32.18,7.944,Low,75,True,79.4422222222222,0.7679702990689681,Critical
2018-01-24,Great Barrier Reef,-18.3183,147.6714,27.54,8.129,Unknown,150,False,138.10533333333333,0.7679702990689681,Stable
2018-01-31,Red Sea,19.9715,38.4584,29.21,8.008,Unknown,122,False,118.71745557924662,0.7679702990689681,At-Risk
2018-02-06,Great Barrier Reef,-18.277,147.6234,30.82,8.093,High,87,True,98.79623015873015,0.7679702990689681,Critical
2018-02-13,Maldives,3.1834,73.235,29.0,8.073,Low,145,False,115.72611341702286,0.7679702990689681,At-Risk
2018-02-19,Great Barrier Reef,-18.2959,147.6593,26.43,8.055,Medium,140,False,140.09973412698412,0.7679702990689681,Stable
2018-02-26,Galápagos,-0.8641,-90.9915,28.84,8.042,Low,134,False,123.26112888198753,0.7679702990689681,At-Risk
2018-03-04,Hawaiian Islands,20.0231,-155.6093,27.77,8.117,High,137,False,128.03117857142857,0.7679702990689681,At-Risk
2018-03-11,Red Sea,20.0923,38.5292,27.96,8.09,Low,142,False,136.9715555555555,0.7679702990689681,Stable
2018-03-18,Maldives,3.2438,73.2461,30.1,8.076,Low,124,True,114.94190079365079,0.7679702990689681,At-Risk
2018-03-24,Great Barrier Reef,-18.2547,147.6908,28.72,8.106,Low,105,False,108.68811940836939,0.7679702990689681,Critical
2018-03-31,Maldives,3.2212,73.201,28.54,8.113,Unknown,122,False,115.07236327561328,0.7679702990689681,At-Risk
2018-04-06,Great Barrier Reef,-18.2848,147.6312,29.62,8.06,Unknown,141,False,131.08099206349206,0.7679702990689681,Stable
2018-04-13,Caribbean Sea,14.9846,-74.989,28.87,8.121,Low,114,False,113.37460353535351,0.7679702990689681,At-Risk
2018-04-20,Galápagos,-0.9398,-90.9352,28.78,8.022,Medium,120,False,119.29330853566728,0.7679702990689681,At-Risk
2018-04-26,Hawaiian Islands,19.9505,-155.6341,28.7,8.011,Unknown,135,False,130.1942644300144,0.7679702990689681,At-Risk
2018-05-03,Great Barrier Reef,-18.3633,147.6713,29.07,8.117,Unknown,113,False,114.27455591630593,0.7679702990689681,At-Risk
2018-05-09,Great Barrier Reef,-18.3149,147.7933,26.33,7.984,Medium,148,False,144.39275000000004,0.7679702990689681,Stable
2018-05-16,Maldives,3.1777,73.1696,29.56,8.041,Unknown,100,False,104.82124129353237,0.7679702990689681,Critical
2018-05-23,Hawaiian Islands,19.8328,-155.5392,29.48,8.026,Unknown,137,False,122.69423241734108,0.7679702990689681,At-Risk
2018-05-29,Maldives,3.1493,73.1444,27.46,8.068,Low,134,False,128.23288888888888,0.7679702990689681,At-Risk
2018-06-05,Maldives,3.1907,73.2383,26.62,8.16,Unknown,137,False,140.32411111111114,0.7679702990689681,Stable
2018-06-11,Great Barrier Reef,-18.2312,147.7163,29.19,8.065,Low,119,False,118.90967460317455,0.7679702990689681,At-Risk
2018-06-18,Hawaiian Islands,19.9289,-155.5163,28.79,8.08,Low,115,False,116.93328806865651,0.7679702990689681,At-Risk
2018-06-24,Hawaiian Islands,19.9688,-155.6166,31.2,7.994,High,71,True,106.91555735930739,0.7679702990689681,Critical
2018-07-01,Hawaiian Islands,19.9032,-155.6169,29.76,7.992,Medium,100,False,112.99654256854254,0.7679702990689681,At-Risk
2018-07-08,Caribbean Sea,14.9055,-75.0226,24.86,8.044,Medium,167,False,163.16103030303032,0.7679702990689681,Stable
2018-07-14,Caribbean Sea,15.0393,-74.9787,27.05,8.077,Unknown,134,False,134.23961904761907,0.7679702990689681,Stable
2018-07-21,Great Barrier Reef,-18.345,147.7744,29.82,8.013,Unknown,107,False,110.47769444444442,0.7679702990689681,Critical
2018-07-27,South China Sea,10.0104,114.8979,28.13,8.023,Low,108,False,113.0724961546133,0.7679702990689681,At-Risk
2018-08-03,Red Sea,19.9859,38.5899,29.46,8.002,High,118,False,113.16423263552372,0.7679702990689681,At-Risk
2018-08-10,Hawaiian Islands,19.9668,-155.5366,28.59,8.016,Unknown,129,False,129.88138339438336,0.7679702990689681,At-Risk
2018-08-16,Great Barrier Reef,-18.2674,147.744,29.45,8.083,Medium,102,False,113.49749206349207,0.7679702990689681,At-Risk
2018-08-23,South China Sea,10.0659,115.0099,31.61,7.953,Unknown,114,True,103.28145634920637,0.7679702990689681,Critical
2018-08-29,Caribbean Sea,15.0099,-75.0326,27.77,8.048,High,133,False,127.97359920634922,0.7679702990689681,At-Risk
2018-09-05,Red Sea,20.0261,38.4713,28.46,8.158,Low,146,False,114.67099206349208,0.7679702990689681,At-Risk
2018-09-11,Maldives,3.2246,73.2226,28.68,8.077,Medium,102,False,110.22348823664768,0.7679702990689681,Critical
2018-09-18,Maldives,3.1899,73.1373,29.1,8.07,Medium,106,False,108.90782625973571,0.7679702990689681,Critical
2018-09-25,Hawaiian Islands,19.9755,-155.6441,26.3,8.105,Unknown,157,False,151.68774206349212,0.7679702990689681,Stable
2018-10-01,Galápagos,-0.8696,-90.9885,30.12,8.016,Unknown,101,True,103.62935497835497,0.7679702990689681,Critical
2018-10-08,Red Sea,20.0442,38.5326,26.14,8.171,Low,164,False,135.1973603896104,0.7679702990689681,Stable
2018-10-14,Caribbean Sea,14.9687,-74.9802,29.24,8.048,Low,104,False,105.70326438155546,0.7679702990689681,Critical
2018-10-21,Great Barrier Reef,-18.3207,147.6979,30.26,8.042,Low,96,True,103.7375119047619,0.7679702990689681,Critical
2018-10-28,Caribbean Sea,15.0386,-75.1424,30.22,7.929,Unknown,97,True,103.80757142857148,0.7679702990689681,Critical
2018-11-03,Great Barrier Reef,-18.3431,147.6345,30.24,7.992,Low,107,True,103.39510714285713,0.7679702990689681,Critical
2018-11-10,Hawaiian Islands,19.8945,-155.5589,28.62,7.984,High,133,False,128.36950252525247,0.7679702990689681,At-Risk
2018-11-16,Red Sea,19.9753,38.4222,27.86,8.138,Unknown,139,False,133.80069444444447,0.7679702990689681,Stable
2018-11-23,Great Barrier Reef,-18.3045,147.6817,28.02,8.163,Unknown,130,False,125.56210606060606,0.7679702990689681,At-Risk
2018-11-29,Caribbean Sea,15.0215,-74.9485,28.86,8.03,Medium,113,False,114.48884114295826,0.7679702990689681,At-Risk
2018-12-06,Hawaiian Islands,19.8932,-155.5847,29.59,8.031,High,120,False,119.96777570738438,0.7679702990689681,At-Risk
