grid_lat,grid_lon,year,month,Plastic_Density_kg_km2,Plastic_Record_Count,Plastic_Types_Present,Ocean_Zone,Species_Count,Unique_Species,Taxonomic_Groups,Dominant_IUCN,Observation_Types,SST_C,pH,Species_Obs,Heatwave_Pct,Country,Waste_Source,Coastal_Risk,Recycling_Rate_Pct,Avg_Temp_C,Temp_Change_C,co2_ppm,CO2_Change_ppm,Sea_Level_Change_mm,Regional_Contribution_Pct,Habitat_Type
6,89,2016,7.0,0.0219663493925567,1.0,PP,Bay_of_Bengal,,,,,,28.0475,8.072,125.25,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Open_Ocean
6,91,2016,1.0,0.0314015277130924,1.0,PET,Indian_Ocean,,,,,,29.292,8.0472,119.0,0.2,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,20.9,Open_Ocean
6,93,2016,,,,,Indian_Ocean,2.0,1.0,Aves,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,20.9,Open_Ocean
6,93,2024,,,,,Indian_Ocean,1.0,1.0,Pisces,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
6,93,2025,,,,,Indian_Ocean,3.0,2.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,20.9,Open_Ocean
7,70,2015,9.0,0.007663761342824,1.0,PP,Arabian_Sea,,,,,,29.066000000000003,8.0338,114.0,0.2,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Open_Ocean
7,75,2016,8.0,0.0215872137322389,1.0,PP,Arabian_Sea,,,,,,26.782,8.080200000000001,124.0,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,35.33,Open_Ocean
7,78,2016,8.0,0.0159698824945727,1.0,PS,Bay_of_Bengal,,,,,,26.782,8.080200000000001,124.0,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Open_Ocean
7,84,2015,11.0,0.0287359602924883,1.0,PVC,Bay_of_Bengal,,,,,,29.31,8.07125,105.75,0.25,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
7,87,2016,4.0,0.0207628950844458,1.0,PVC,Bay_of_Bengal,,,,,,28.68,8.05475,114.0,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Open_Ocean
7,89,2015,2.0,0.0299883543895327,1.0,PP,Bay_of_Bengal,,,,,,27.8575,8.02175,123.0,0.0,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
7,92,2024,,,,,Indian_Ocean,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
7,93,2019,,,,,Indian_Ocean,2.0,1.0,Mammalia,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,432.615,1.971,2.326,20.9,Open_Ocean
7,93,2025,,,,,Indian_Ocean,2.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,20.9,Open_Ocean
7,94,2024,,,,,Indian_Ocean,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
8,67,2015,7.0,0.0256707947864999,1.0,PET,Arabian_Sea,,,,,,27.908,8.051,133.0,0.2,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Open_Ocean
8,69,2016,2.0,0.0172220409443327,1.0,PET,Arabian_Sea,,,,,,28.1625,8.104000000000001,122.75,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,35.33,Open_Ocean
8,70,2015,2.0,0.0366786505442391,1.0,PS,Arabian_Sea,,,,,,27.8575,8.02175,123.0,0.0,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Open_Ocean
8,71,2024,,,,,Arabian_Sea,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,35.33,Open_Ocean
8,73,2024,,,,,Arabian_Sea,2.0,2.0,Mammalia,LC/Not Evaluated,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,35.33,Coral_Reef
8,74,2024,,,,,Arabian_Sea,3.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,35.33,Coral_Reef
8,75,2024,,,,,Arabian_Sea,1.0,1.0,Aves,LC/Not Evaluated,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,35.33,Open_Ocean
8,76,2015,,,,,Bay_of_Bengal,3.0,2.0,Mammalia,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Coral_Reef
8,76,2017,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Citizen_Science,,,,,India,Consumer_Goods,High,11.5,,,428.605,2.068,2.529,26.26,Coral_Reef
8,76,2023,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Citizen_Science,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,26.26,Coral_Reef
8,76,2024,,,,,Bay_of_Bengal,3.0,3.0,Aves|Pisces,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
8,76,2025,,,,,Bay_of_Bengal,69.0,11.0,Aves|Mammalia|Reptilia,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
8,77,2015,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Coral_Reef
8,77,2017,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,428.605,2.068,2.529,26.26,Coral_Reef
8,77,2018,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,430.64416666666665,2.039,4.289,26.26,Coral_Reef
8,77,2019,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,432.615,1.971,2.326,26.26,Coral_Reef
8,77,2020,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,434.78583333333336,2.171,4.287,26.26,Coral_Reef
8,77,2022,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,439.0366666666667,2.295,3.689,26.26,Coral_Reef
8,77,2023,,,,,Bay_of_Bengal,3.0,3.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,26.26,Coral_Reef
8,77,2024,,,,,Bay_of_Bengal,9.0,7.0,Aves|Pisces,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
8,77,2025,,,,,Bay_of_Bengal,52.0,10.0,Aves|Mammalia|Reptilia,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
8,78,2016,,,,,Bay_of_Bengal,4.0,1.0,Mammalia,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Coral_Reef
8,78,2024,,,,,Bay_of_Bengal,4.0,2.0,Mammalia,LC/Not Evaluated,Occurrence|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
8,78,2025,,,,,Bay_of_Bengal,5.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
8,79,2024,,,,,Bay_of_Bengal,2.0,1.0,Mammalia,LC/Not Evaluated,Occurrence|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
8,81,2019,,,,,Bay_of_Bengal,1.0,1.0,Mammalia,LC/Not Evaluated,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,432.615,1.971,2.326,26.26,Open_Ocean
8,84,2015,2.0,0.0135871095150477,1.0,PVC,Bay_of_Bengal,,,,,,27.8575,8.02175,123.0,0.0,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
8,84,2015,5.0,0.0232498319069545,1.0,PS,Bay_of_Bengal,,,,,,28.5575,8.07275,116.5,0.0,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
8,87,2015,8.0,0.0034830901674197,1.0,PE,Bay_of_Bengal,,,,,,29.325,8.03725,118.75,0.5,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
8,90,2016,3.0,0.0150744564144677,1.0,PET,Bay_of_Bengal,,,,,,28.316000000000003,8.044799999999999,122.4,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Open_Ocean
8,91,2024,,,,,Indian_Ocean,2.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
8,93,2015,3.0,0.0196186920784592,1.0,PVC,Indian_Ocean,,,,,,28.492,8.0546,120.8,0.4,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,20.9,Open_Ocean
8,93,2024,,,,,Indian_Ocean,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
8,93,2025,,,,,Indian_Ocean,1.0,1.0,Mammalia,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,20.9,Open_Ocean
9,68,2016,5.0,0.0255319629183425,1.0,PET,Arabian_Sea,,,,,,28.52,8.103399999999999,123.0,0.4,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,35.33,Open_Ocean
9,72,2024,,,,,Arabian_Sea,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,35.33,Coral_Reef
9,74,2015,9.0,0.0393797160721592,1.0,PE,Arabian_Sea,,,,,,29.066000000000003,8.0338,114.0,0.2,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Coral_Reef
9,74,2024,,,,,Arabian_Sea,2.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,35.33,Coral_Reef
9,75,2017,,,,,Arabian_Sea,2.0,2.0,Mammalia,LC/Not Evaluated,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,428.605,2.068,2.529,35.33,Open_Ocean
9,75,2023,,,,,Arabian_Sea,2.0,1.0,Mammalia,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,35.33,Open_Ocean
9,76,2015,,,,,Bay_of_Bengal,3.0,1.0,Mammalia,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Coral_Reef
9,76,2016,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Citizen_Science,,,,,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Coral_Reef
9,76,2017,,,,,Bay_of_Bengal,4.0,3.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,428.605,2.068,2.529,26.26,Coral_Reef
9,76,2018,,,,,Bay_of_Bengal,1.0,1.0,Pisces,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,430.64416666666665,2.039,4.289,26.26,Coral_Reef
9,76,2020,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,434.78583333333336,2.171,4.287,26.26,Coral_Reef
9,76,2021,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,436.7416666666666,1.956,2.754,26.26,Coral_Reef
9,76,2022,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,439.0366666666667,2.295,3.689,26.26,Coral_Reef
9,76,2023,,,,,Bay_of_Bengal,19.0,6.0,Aves|Mammalia|Reptilia,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,26.26,Coral_Reef
9,76,2024,,,,,Bay_of_Bengal,54.0,11.0,Aves|Mammalia,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
9,76,2025,,,,,Bay_of_Bengal,225.0,18.0,Aves|Mammalia|Reptilia,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
9,77,2022,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,439.0366666666667,2.295,3.689,26.26,Coral_Reef
9,77,2024,,,,,Bay_of_Bengal,7.0,2.0,Aves,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
9,77,2025,,,,,Bay_of_Bengal,17.0,7.0,Aves,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
9,78,2019,,,,,Bay_of_Bengal,1.0,1.0,Mammalia,LC/Not Evaluated,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,432.615,1.971,2.326,26.26,Coral_Reef
9,78,2024,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
9,78,2025,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Citizen_Science,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
9,79,2023,,,,,Bay_of_Bengal,2.0,2.0,Mammalia|Reptilia,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,26.26,Coral_Reef
9,79,2024,,,,,Bay_of_Bengal,4.0,3.0,Mammalia|Reptilia,LC/Not Evaluated,Occurrence|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
9,79,2025,,,,,Bay_of_Bengal,7.0,4.0,Aves|Reptilia,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
9,82,2016,1.0,0.0207427727853694,1.0,PET,Bay_of_Bengal,,,,,,29.292,8.0472,119.0,0.2,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Open_Ocean
9,91,2024,,,,,Indian_Ocean,2.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
9,92,2024,,,,,Indian_Ocean,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
9,93,2024,,,,,Indian_Ocean,4.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,20.9,Open_Ocean
10,70,2015,3.0,0.0352578124565447,1.0,PS,Arabian_Sea,,,,,,28.492,8.0546,120.8,0.4,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Open_Ocean
10,72,2015,,,,,Arabian_Sea,1.0,1.0,Reptilia,VU,Scientific,,,,,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Coral_Reef
10,72,2022,,,,,Arabian_Sea,1.0,1.0,Reptilia,VU,Scientific,,,,,India,Consumer_Goods,High,11.5,,,439.0366666666667,2.295,3.689,35.33,Coral_Reef
10,72,2023,,,,,Arabian_Sea,2.0,1.0,Mammalia,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,35.33,Coral_Reef
10,72,2025,,,,,Arabian_Sea,1.0,1.0,Reptilia,VU,Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,35.33,Coral_Reef
10,73,2024,,,,,Arabian_Sea,3.0,2.0,Mammalia,LC/Not Evaluated,Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,35.33,Coral_Reef
10,74,2015,3.0,0.0057278770381952,1.0,PVC,Arabian_Sea,,,,,,28.492,8.0546,120.8,0.4,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,35.33,Coral_Reef
10,75,2020,,,,,Arabian_Sea,1.0,1.0,Mammalia,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,434.78583333333336,2.171,4.287,35.33,Open_Ocean
10,75,2023,,,,,Arabian_Sea,1.0,1.0,Pisces,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,35.33,Open_Ocean
10,75,2025,,,,,Arabian_Sea,4.0,3.0,Aves|Mammalia|Reptilia,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,35.33,Open_Ocean
10,76,2015,,,,,Bay_of_Bengal,2.0,2.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Coral_Reef
10,76,2016,,,,,Bay_of_Bengal,3.0,3.0,Aves|Mammalia,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Coral_Reef
10,76,2017,,,,,Bay_of_Bengal,5.0,4.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,428.605,2.068,2.529,26.26,Coral_Reef
10,76,2018,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,430.64416666666665,2.039,4.289,26.26,Coral_Reef
10,76,2019,,,,,Bay_of_Bengal,4.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,432.615,1.971,2.326,26.26,Coral_Reef
10,76,2020,,,,,Bay_of_Bengal,7.0,4.0,Aves|Mammalia,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,434.78583333333336,2.171,4.287,26.26,Coral_Reef
10,76,2021,,,,,Bay_of_Bengal,4.0,4.0,Aves|Mammalia,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,436.7416666666666,1.956,2.754,26.26,Coral_Reef
10,76,2022,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,439.0366666666667,2.295,3.689,26.26,Coral_Reef
10,76,2023,,,,,Bay_of_Bengal,24.0,8.0,Aves|Mammalia,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,26.26,Coral_Reef
10,76,2024,,,,,Bay_of_Bengal,41.0,8.0,Aves|Mammalia,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
10,76,2025,,,,,Bay_of_Bengal,80.0,18.0,Aves|Mammalia|Reptilia,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
10,77,2015,,,,,Bay_of_Bengal,1.0,1.0,Aves,LC/Not Evaluated,Citizen_Science,,,,,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Coral_Reef
10,77,2017,,,,,Bay_of_Bengal,7.0,4.0,Aves,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,428.605,2.068,2.529,26.26,Coral_Reef
10,77,2018,,,,,Bay_of_Bengal,4.0,2.0,Aves,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,430.64416666666665,2.039,4.289,26.26,Coral_Reef
10,77,2020,,,,,Bay_of_Bengal,2.0,2.0,Aves,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,434.78583333333336,2.171,4.287,26.26,Coral_Reef
10,77,2021,,,,,Bay_of_Bengal,2.0,1.0,Aves,LC/Not Evaluated,Citizen_Science,,,,,India,Consumer_Goods,High,11.5,,,436.7416666666666,1.956,2.754,26.26,Coral_Reef
10,77,2022,,,,,Bay_of_Bengal,4.0,3.0,Aves,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,439.0366666666667,2.295,3.689,26.26,Coral_Reef
10,77,2023,,,,,Bay_of_Bengal,12.0,5.0,Aves,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,441.04583333333335,2.009,4.08,26.26,Coral_Reef
10,77,2024,,,,,Bay_of_Bengal,11.0,4.0,Aves,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
10,77,2025,,,,,Bay_of_Bengal,32.0,10.0,Aves,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
10,78,2025,,,,,Bay_of_Bengal,12.0,5.0,Aves,LC/Not Evaluated,Citizen_Science|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
10,79,2024,,,,,Bay_of_Bengal,3.0,3.0,Aves,LC/Not Evaluated,Scientific,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Coral_Reef
10,79,2025,,,,,Bay_of_Bengal,9.0,6.0,Aves,LC/Not Evaluated,Citizen_Science|Human_Observation|Scientific,,,,,India,Consumer_Goods,High,11.5,,,,,,26.26,Coral_Reef
10,80,2016,1.0,0.0021381924379037,1.0,PVC,Bay_of_Bengal,,,,,,29.292,8.0472,119.0,0.2,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,26.26,Coral_Reef
10,90,2015,3.0,0.0388894900172459,1.0,PS,Bay_of_Bengal,,,,,,28.492,8.0546,120.8,0.4,India,Consumer_Goods,High,11.5,16.058583333333335,,424.42,,,26.26,Open_Ocean
10,90,2024,,,,,Bay_of_Bengal,1.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,26.26,Open_Ocean
10,91,2024,,,,,Andaman_Sea,2.0,1.0,Mammalia,VU,Human_Observation,,,,,India,Consumer_Goods,High,11.5,,,443.1566666666667,2.111,3.837,12.78,Open_Ocean
10,92,2016,2.0,0.035257303138874,1.0,PP,Andaman_Sea,,,,,,28.1625,8.104000000000001,122.75,0.0,India,Consumer_Goods,High,11.5,,,426.5366666666666,2.117,3.718,12.78,Coral_Reef
