species_scientific_name,species_common_name,taxonomic_group,family,latitude,longitude,country,state_province,event_date,year,month,data_source,observation_type,occurrence_id,india_role,migration_season,location_type,seasonal_density,iucn_red_list_status,grid_lat,grid_lon,Habitat_Type
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9778360613,72.810481824,India,Maharashtra (Coastal),,2022,6,iNaturalist,Scientific,120056957,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8334427962,72.9611551159,India,Maharashtra (Coastal),,2022,4,iNaturalist,Scientific,113820668,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0750200997,72.8172797,India,Maharashtra (Coastal),,2021,12,iNaturalist,Scientific,102600268,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0741985104,72.8198158308,India,Maharashtra (Coastal),,2021,10,iNaturalist,Scientific,100296027,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.38788,72.7608325,India,Maharashtra (Coastal),,2020,3,iNaturalist,Scientific,94193104,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.1681521694,72.7812309936,India,Maharashtra (Coastal),,2021,3,iNaturalist,Scientific,87687036,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8168053823,72.9423443519,India,Maharashtra (Coastal),,2020,12,iNaturalist,Scientific,66670890,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9828176997,72.8058481,India,Maharashtra (Coastal),,2020,12,iNaturalist,Scientific,66604438,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9813848,72.807428,India,Maharashtra (Coastal),,2020,12,iNaturalist,Scientific,65941769,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0794055,72.80967,India,Maharashtra (Coastal),,2020,11,iNaturalist,Scientific,64937039,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0799111667,72.8091133333,India,Maharashtra (Coastal),,2020,11,iNaturalist,Scientific,64935779,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8375186193,72.8327310202,India,Maharashtra (Coastal),,2020,10,iNaturalist,Scientific,63102656,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0956704497,72.94336911,India,Maharashtra (Coastal),,2020,9,iNaturalist,Scientific,60799670,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.370734,72.761974,India,Maharashtra (Coastal),,2020,3,iNaturalist,Scientific,42224758,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.370734,72.761974,India,Maharashtra (Coastal),,2020,2,iNaturalist,Scientific,42153970,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9827617085,72.8089646995,India,Maharashtra (Coastal),,2020,2,iNaturalist,Scientific,39661332,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0474793634,72.8172208232,India,Maharashtra (Coastal),,2019,4,iNaturalist,Scientific,38594062,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.370734,72.761974,India,Maharashtra (Coastal),,2019,11,iNaturalist,Scientific,37676631,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.1380243472,72.9974266154,India,Maharashtra (Coastal),,2019,11,iNaturalist,Scientific,36189858,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0721240789,72.8213752895,India,Maharashtra (Coastal),,2019,6,iNaturalist,Scientific,26603981,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0497523249,72.8192187846,India,Maharashtra (Coastal),,2019,5,iNaturalist,Scientific,24885997,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0029064886,72.8466902862,India,Maharashtra (Coastal),,2019,3,iNaturalist,Scientific,21601375,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0499992371,72.818572998,India,Maharashtra (Coastal),,2019,2,iNaturalist,Scientific,20961995,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0478599,72.8583788,India,Maharashtra (Coastal),,2018,6,iNaturalist,Scientific,13472898,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,CR,19,72,Mangrove
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9837169552,72.8060826659,India,Maharashtra (Coastal),,2018,3,iNaturalist,Scientific,12976812,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9823245061,72.8081654012,India,Maharashtra (Coastal),,2018,4,iNaturalist,Scientific,12325050,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,CR,18,72,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.8925848059,80.3340790444,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,331409060,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.0587222052,80.3763957632,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,331193748,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,13,80,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.0169096251,80.3980304399,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,331193529,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,13,80,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.1749131315,80.2768063879,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330958563,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,13,80,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.6172409306,83.3227774286,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330839297,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,17,83,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.7488567487,80.287819141,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330713342,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.6343099269,80.2957803846,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330713333,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.9358609508,80.2671151029,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330596091,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.8303481466,80.2956130656,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330573893,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.9230799718,80.3478101832,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330561517,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.7864886729,83.3825502245,India,Coastal India / Marine,,2025,12,iNaturalist,Scientific,330442682,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,17,83,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.7923896396,80.3170855844,India,Coastal India / Marine,,2025,11,iNaturalist,Scientific,327258715,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.0116954098,93.1837858237,India,Coastal India / Marine,,2025,11,iNaturalist,Scientific,326365102,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,12,93,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.9293006442,93.07415576,India,Coastal India / Marine,,2024,3,iNaturalist,Scientific,325478333,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,11,93,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.4991782583,83.0781797116,India,Coastal India / Marine,,2024,2,iNaturalist,Scientific,325462980,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,17,83,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,8.2856037843,76.9833680745,India,Tamil Nadu / Kerala,,2025,10,iNaturalist,Scientific,322705440,Migratory/Feeding,Autumn/Passage,Terrestrial,Moderate,VU,8,76,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.6192088103,92.7924129416,India,Coastal India / Marine,,2020,6,iNaturalist,Scientific,322372320,Migratory/Feeding,Monsoon/Breeding,Terrestrial,High,VU,11,92,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.2530784105,79.1329313098,India,Tamil Nadu / Kerala,,2023,3,iNaturalist,Scientific,321806053,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,9,79,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.0134395475,76.5781281942,India,Tamil Nadu / Kerala,,2025,9,iNaturalist,Scientific,317706663,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,VU,9,76,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.1456118915,76.5003111224,India,Tamil Nadu / Kerala,,2025,9,iNaturalist,Scientific,317686828,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,VU,9,76,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.0455095183,76.5903889847,India,Tamil Nadu / Kerala,,2025,9,iNaturalist,Scientific,316693897,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,VU,9,76,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.6376889292,80.1981873978,India,Coastal India / Marine,,2025,2,iNaturalist,Scientific,314965687,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,8.18036375,77.6394155452,India,Tamil Nadu / Kerala,,2025,8,iNaturalist,Scientific,314286760,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,VU,8,77,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.9509682606,80.3036463848,India,Coastal India / Marine,,2025,9,iNaturalist,Scientific,312628746,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.6081621651,80.1304956722,India,Coastal India / Marine,,2025,2,iNaturalist,Scientific,311629292,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.6537048604,83.3768606583,India,Coastal India / Marine,,2025,8,iNaturalist,Scientific,310710933,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,VU,17,83,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.8659212987,74.678062628,India,Coastal India / Marine,,2023,4,iNaturalist,Scientific,309486510,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,12,74,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.6013639849,73.1751823477,India,Coastal India / Marine,,2016,2,iNaturalist,Scientific,309314764,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,17,73,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.9058403444,80.2954952156,India,Coastal India / Marine,,2025,1,iNaturalist,Scientific,307725052,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.2485982247,79.9627159979,India,Tamil Nadu / Kerala,,2025,8,iNaturalist,Scientific,306976842,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,VU,12,79,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.7967650298,79.6260318617,India,Tamil Nadu / Kerala,,2025,6,iNaturalist,Scientific,299752780,Migratory/Feeding,Monsoon/Breeding,Terrestrial,High,VU,11,79,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.1897735085,80.2125915046,India,Coastal India / Marine,,2017,2,iNaturalist,Scientific,298550085,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,13,80,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,14.5732266087,80.0933905767,India,Coastal India / Marine,,2025,3,iNaturalist,Scientific,296769125,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,14,80,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,10.6389723496,75.9304457261,India,Coastal India / Marine,,2025,3,iNaturalist,Scientific,293354349,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,10,75,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,10.4356131338,76.0309579213,India,Tamil Nadu / Kerala,,2025,2,iNaturalist,Scientific,292802296,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,10,76,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.6547813191,83.2443458426,India,Coastal India / Marine,,2025,4,iNaturalist,Scientific,291699361,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,17,83,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.9855213386,92.8603300713,India,Coastal India / Marine,,2024,12,iNaturalist,Scientific,288941953,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,11,92,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.829334525,80.2606286165,India,Coastal India / Marine,,2025,1,iNaturalist,Scientific,288591326,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.6371618519,76.3075128473,India,Tamil Nadu / Kerala,,2023,3,iNaturalist,Scientific,287329529,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,9,76,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.0119264793,80.2877425275,India,Coastal India / Marine,,2025,6,iNaturalist,Scientific,286741814,Migratory/Feeding,Monsoon/Breeding,Terrestrial,High,VU,13,80,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,21.504724552,88.364683946,India,Coastal India / Marine,,2025,2,iNaturalist,Scientific,285711359,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,21,88,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,18.6182755641,72.8128511519,India,Maharashtra (Coastal),,2025,4,iNaturalist,Scientific,284255630,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,18,72,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,10.5063598812,72.7978946913,India,Coastal India / Marine,,2015,2,iNaturalist,Scientific,283302783,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,VU,10,72,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.8902106301,92.9362969651,India,Coastal India / Marine,,2025,5,iNaturalist,Scientific,282289332,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,11,92,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.8588488609,80.2205806447,India,Coastal India / Marine,,2025,1,iNaturalist,Scientific,282009929,Migratory/Feeding,Winter (Peak),Terrestrial,High,VU,12,80,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.9818606801,92.8971766189,India,Coastal India / Marine,,2025,4,iNaturalist,Scientific,281521771,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,11,92,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.0822241217,80.3796042846,India,Coastal India / Marine,,2025,5,iNaturalist,Scientific,280995358,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,13,80,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.3142801107,79.3534932873,India,Tamil Nadu / Kerala,,2025,3,iNaturalist,Scientific,279188137,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,9,79,Coral_Reef
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.8092928621,73.164070711,India,Coastal India / Marine,,2025,4,iNaturalist,Scientific,278293711,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,17,73,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,16.2723319898,81.2168592734,India,Coastal India / Marine,,2025,5,iNaturalist,Scientific,277313048,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,16,81,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,16.2972891988,81.2550111555,India,Coastal India / Marine,,2025,4,iNaturalist,Scientific,276931453,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,16,81,Mangrove
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,19.8676384722,85.8495224,India,Coastal India / Marine,,2025,4,iNaturalist,Scientific,276547791,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,19,85,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,18.7910183896,72.8722192849,India,Maharashtra (Coastal),,2025,4,iNaturalist,Scientific,275463339,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,18,72,Open_Ocean
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.1072068016,80.3266278835,India,Coastal India / Marine,,2025,4,iNaturalist,Scientific,275385593,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,VU,13,80,Mangrove
