Date,Location,Latitude,Longitude,SST (°C),pH Level,Species Observed,RF_Predicted_Species,Prediction_Error,Risk_Cluster
2015-05-25,Great Barrier Reef,-18.383,147.6979,28.59,8.171,116,116.84,-0.84,Stable
2015-06-01,Great Barrier Reef,-18.272,147.6975,26.75,8.142,148,142.41,5.59,Stable
2015-06-08,Red Sea,20.0396,38.4545,30.6,7.938,107,102.67,4.33,Critical
2015-06-14,Red Sea,20.1095,38.4505,27.65,8.072,120,128.79,-8.79,At_Risk
2015-06-21,Hawaiian Islands,19.8193,-155.5794,26.91,8.106,122,138.2,-16.2,Stable
2015-06-27,Galápagos,-0.8763,-91.0048,28.02,8.1,106,123.65,-17.65,At_Risk
2015-07-04,Galápagos,-0.9424,-90.9002,26.09,8.107,148,144.94,3.06,Stable
2015-07-10,Maldives,3.2419,73.1589,26.52,8.116,144,142.73,1.27,Stable
2015-07-17,Red Sea,20.0125,38.5173,27.48,8.082,134,129.33,4.67,Stable
2015-07-24,Great Barrier Reef,-18.3228,147.7925,29.21,7.976,122,114.67,7.33,At_Risk
2015-07-30,Maldives,3.1541,73.2601,30.24,7.974,117,102.96,14.04,Critical
2015-08-06,Red Sea,20.0206,38.5411,31.35,7.981,80,97.06,-17.06,Critical
2015-08-12,South China Sea,9.9555,114.9592,28.38,8.069,125,118.1,6.9,At_Risk
2015-08-19,Hawaiian Islands,19.9382,-155.5821,30.68,7.993,138,101.29,36.71,At_Risk
2015-08-26,Caribbean Sea,15.0313,-75.0429,26.89,8.106,132,141.93,-9.93,Stable
2015-09-01,Caribbean Sea,15.0357,-74.9763,28.39,8.01,98,118.21,-20.21,At_Risk
2015-09-08,Great Barrier Reef,-18.3094,147.742,28.82,7.981,119,119.22,-0.22,At_Risk
2015-09-14,South China Sea,10.0193,114.9558,28.73,8.048,100,118.27,-18.27,At_Risk
2015-09-21,Galápagos,-0.9359,-90.9376,30.12,8.07,83,103.65,-20.65,Critical
2015-09-27,South China Sea,9.9531,115.0258,29.27,8.06,170,113.96,56.04,Stable
2015-10-04,Red Sea,20.0285,38.5568,29.93,8.054,100,109.89,-9.89,Critical
2015-10-11,Red Sea,20.0379,38.4614,28.14,8.033,124,119.91,4.09,At_Risk
2015-10-17,Maldives,3.3185,73.1273,29.53,7.949,102,111.99,-9.99,Critical
2015-10-24,Galápagos,-0.8994,-90.9624,26.88,8.047,146,148.13,-2.13,Stable
2015-10-30,Great Barrier Reef,-18.3236,147.71,28.57,8.016,151,118.41,32.59,At_Risk
2015-11-06,Great Barrier Reef,-18.2554,147.5979,28.78,8.011,129,118.41,10.59,At_Risk
2015-11-13,Galápagos,-0.9934,-90.9713,29.26,8.078,94,113.83,-19.83,At_Risk
2015-11-19,Hawaiian Islands,19.8801,-155.6065,27.52,8.158,135,129.89,5.11,Stable
2015-11-26,South China Sea,9.937,115.0459,31.68,8.038,65,89.58,-24.58,Critical
2015-12-02,Red Sea,19.9758,38.5633,27.44,8.093,142,128.92,13.08,Stable
2015-12-09,Hawaiian Islands,19.8505,-155.5858,23.64,8.096,164,153.81,10.19,Stable
2015-12-16,Galápagos,-1.0162,-90.884,26.35,8.071,143,146.6,-3.6,Stable
2015-12-22,Great Barrier Reef,-18.215,147.6274,30.24,8.016,87,103.12,-16.12,Critical
2015-12-29,South China Sea,10.0231,115.01,27.6,8.071,123,128.38,-5.38,At_Risk
2016-01-04,Galápagos,-0.9481,-90.9325,30.88,7.941,128,101.38,26.62,Critical
2016-01-11,Maldives,3.1052,73.2131,29.38,8.046,101,113.6,-12.6,At_Risk
2016-01-17,Hawaiian Islands,19.8864,-155.6075,27.62,8.11,134,129.58,4.42,Stable
2016-01-24,Red Sea,19.9654,38.545,28.96,8.081,124,118.14,5.86,At_Risk
2016-01-31,Galápagos,-0.9952,-90.9936,29.62,8.058,108,111.94,-3.94,At_Risk
2016-02-06,Hawaiian Islands,19.9027,-155.5189,27.61,8.095,125,129.58,-4.58,Stable
2016-02-13,South China Sea,9.9891,115.0549,29.74,8.066,127,110.76,16.24,At_Risk
2016-02-19,Great Barrier Reef,-18.286,147.7333,28.03,8.076,122,123.51,-1.51,At_Risk
2016-02-26,South China Sea,10.0048,115.0298,27.27,8.179,117,128.33,-11.33,Stable
2016-03-04,South China Sea,9.9393,115.0579,29.69,8.057,117,111.94,5.06,At_Risk
2016-03-10,Red Sea,19.9994,38.4551,28.61,8.014,133,118.41,14.59,At_Risk
2016-03-17,Red Sea,19.9926,38.4587,28.02,8.08,116,123.51,-7.51,At_Risk
2016-03-23,Great Barrier Reef,-18.3282,147.7114,28.87,8.017,109,118.47,-9.47,At_Risk
2016-03-30,Maldives,3.2144,73.1483,26.39,8.056,137,146.84,-9.84,Stable
2016-04-05,Galápagos,-0.9383,-90.8918,29.79,8.016,106,110.87,-4.87,Critical
2016-04-12,Great Barrier Reef,-18.3372,147.6983,28.07,8.075,111,124.45,-13.45,At_Risk
2016-04-19,Hawaiian Islands,19.9228,-155.5062,28.34,8.073,131,118.1,12.9,At_Risk
2016-04-25,Galápagos,-0.9739,-90.9544,28.52,8.055,108,118.27,-10.27,At_Risk
2016-05-02,Maldives,3.204,73.2456,30.68,8.054,130,101.25,28.75,At_Risk
2016-05-08,Great Barrier Reef,-18.3255,147.7428,28.78,8.154,105,116.84,-11.84,At_Risk
2016-05-15,Galápagos,-0.9958,-90.9956,25.31,8.087,140,153.66,-13.66,Stable
2016-05-22,Caribbean Sea,15.0075,-74.9829,31.31,8.041,83,98.1,-15.1,Critical
2016-05-28,South China Sea,9.9551,115.0246,26.52,8.181,157,142.07,14.93,Stable
2016-06-04,Caribbean Sea,14.9765,-75.0857,30.53,8.004,118,100.1,17.9,Critical
2016-06-10,Galápagos,-1.0335,-90.9956,28.51,8.052,113,118.27,-5.27,At_Risk
2016-06-17,Caribbean Sea,15.0311,-75.0534,28.29,8.06,129,119.99,9.01,At_Risk
2016-06-23,Great Barrier Reef,-18.2515,147.643,26.2,8.16,147,144.26,2.74,Stable
2016-06-30,Maldives,3.1654,73.2983,28.67,8.105,119,117.95,1.05,At_Risk
2016-07-07,Great Barrier Reef,-18.1841,147.787,28.13,8.106,133,120.02,12.98,Stable
2016-07-13,Maldives,3.2712,73.1725,29.53,8.082,83,111.76,-28.76,Critical
2016-07-20,South China Sea,9.9408,114.898,28.1,8.094,146,126.18,19.82,Stable
2016-07-26,Great Barrier Reef,-18.2834,147.7806,26.43,8.006,139,148.6,-9.6,Stable
2016-08-02,Red Sea,20.0192,38.4984,25.4,8.108,131,147.17,-16.17,Stable
2016-08-09,Galápagos,-0.9203,-90.9473,27.09,8.053,118,127.54,-9.54,At_Risk
2016-08-15,Great Barrier Reef,-18.2902,147.747,27.02,8.105,126,130.38,-4.38,Stable
2016-08-22,Galápagos,-0.9934,-90.971,26.95,8.053,117,132.27,-15.27,At_Risk
2016-08-28,Maldives,3.301,73.2225,27.45,8.082,128,128.83,-0.83,Stable
2016-09-04,Caribbean Sea,14.989,-74.9693,29.64,8.001,100,112.29,-12.29,Critical
2016-09-11,Caribbean Sea,14.9862,-75.1151,26.23,8.164,167,144.45,22.55,Stable
2016-09-17,Red Sea,19.9875,38.5288,28.97,8.195,132,116.05,15.95,Stable
2016-09-24,Caribbean Sea,14.9936,-75.0478,26.09,8.108,132,144.52,-12.52,Stable
2016-09-30,Hawaiian Islands,19.8257,-155.6151,26.88,8.167,149,142.43,6.57,Stable
2016-10-07,South China Sea,9.9996,115.074,28.62,8.005,141,118.95,22.05,At_Risk
2016-10-13,Great Barrier Reef,-18.2602,147.6473,28.21,8.012,102,119.37,-17.37,At_Risk
2016-10-20,Great Barrier Reef,-18.2408,147.7947,26.4,8.12,131,142.73,-11.73,Stable
2016-10-27,Great Barrier Reef,-18.3115,147.6696,27.2,8.078,120,128.36,-8.36,Stable
2016-11-02,Hawaiian Islands,19.9103,-155.5853,28.14,8.012,114,119.8,-5.8,At_Risk
2016-11-09,South China Sea,10.0378,115.025,27.03,8.084,145,129.97,15.03,Stable
2016-11-15,Great Barrier Reef,-18.3706,147.7264,27.51,8.098,118,130.26,-12.26,Stable
2016-11-22,Galápagos,-1.044,-91.047,28.57,8.062,105,118.37,-13.37,At_Risk
2016-11-29,South China Sea,10.0319,114.9169,28.4,7.991,111,119.15,-8.15,At_Risk
2016-12-05,Maldives,3.2052,73.1777,27.92,8.112,117,126.11,-9.11,Stable
2016-12-12,Galápagos,-0.912,-91.0221,29.29,8.106,74,112.3,-38.3,Critical
2016-12-18,Caribbean Sea,14.9602,-74.9711,28.2,8.075,113,119.44,-6.44,At_Risk
2016-12-25,Great Barrier Reef,-18.2828,147.6914,30.25,8.028,107,103.01,3.99,Critical
2016-12-31,Great Barrier Reef,-18.3077,147.6748,27.85,8.083,120,125.79,-5.79,At_Risk
2017-01-07,Great Barrier Reef,-18.2726,147.803,29.81,8.008,124,110.94,13.06,At_Risk
2017-01-14,Great Barrier Reef,-18.3075,147.5973,26.99,7.987,129,131.25,-2.25,At_Risk
2017-01-20,Hawaiian Islands,19.8977,-155.499,28.99,8.029,127,116.92,10.08,At_Risk
2017-01-27,South China Sea,9.8894,115.0118,29.66,7.953,125,112.29,12.71,Critical
2017-02-02,Galápagos,-0.9369,-90.9864,29.45,8.145,113,111.5,1.5,At_Risk
2017-02-09,Great Barrier Reef,-18.2747,147.6762,27.23,8.117,119,128.52,-9.52,Stable
2017-02-16,Hawaiian Islands,19.9004,-155.6067,29.22,8.052,128,114.01,13.99,At_Risk
2017-02-22,Hawaiian Islands,19.8713,-155.5963,27.03,8.057,140,129.09,10.91,Stable
2017-03-01,Galápagos,-0.916,-91.0117,29.8,8.092,113,111.42,1.58,At_Risk
2017-03-07,Maldives,3.2966,73.182,26.63,7.998,161,148.7,12.3,Stable
2017-03-14,Red Sea,20.0327,38.4972,28.92,7.985,152,119.46,32.54,At_Risk
2017-03-20,Caribbean Sea,15.0065,-74.9945,29.59,8.052,112,112.0,0.0,At_Risk
2017-03-27,South China Sea,9.9605,115.0236,31.32,8.061,115,98.16,16.84,Critical
2017-04-03,Red Sea,19.9744,38.4505,28.31,8.057,138,119.46,18.54,At_Risk
2017-04-09,Red Sea,19.9154,38.5765,28.26,8.033,107,119.67,-12.67,At_Risk
2017-04-16,Galápagos,-1.0365,-90.9244,28.61,7.983,99,119.22,-20.22,Critical
2017-04-22,Hawaiian Islands,19.88,-155.4993,28.11,7.983,120,125.35,-5.35,At_Risk
2017-04-29,Hawaiian Islands,19.8832,-155.7176,28.42,8.04,131,118.26,12.74,At_Risk
2017-05-06,Great Barrier Reef,-18.1947,147.7555,28.1,8.003,162,127.15,34.85,Stable
2017-05-12,South China Sea,10.003,115.0007,28.46,8.061,118,118.37,-0.37,At_Risk
2017-05-19,South China Sea,9.9713,114.9727,28.45,8.024,109,118.33,-9.33,At_Risk
2017-05-25,Hawaiian Islands,19.9021,-155.5955,30.76,7.872,113,102.85,10.15,Critical
2017-06-01,Hawaiian Islands,19.9591,-155.6865,27.99,8.042,104,123.46,-19.46,At_Risk
2017-06-07,South China Sea,9.9611,114.9445,31.13,8.044,112,98.41,13.59,Critical
2017-06-14,Red Sea,20.0361,38.4435,27.71,8.09,109,124.8,-15.8,At_Risk
2017-06-21,Galápagos,-0.9182,-90.9776,27.94,8.097,132,126.0,6.0,Stable
2017-06-27,South China Sea,9.982,115.058,26.88,8.113,145,142.66,2.34,Stable
2017-07-04,Hawaiian Islands,19.8813,-155.5665,26.62,8.134,135,142.48,-7.48,Stable
2017-07-10,Galápagos,-0.9799,-90.9131,27.44,8.001,107,129.35,-22.35,At_Risk
2017-07-17,Hawaiian Islands,19.9271,-155.6468,31.13,7.893,119,102.15,16.85,Critical
2017-07-24,Great Barrier Reef,-18.2765,147.6944,27.68,8.086,127,130.56,-3.56,Stable
2017-07-30,Great Barrier Reef,-18.2319,147.7049,28.73,8.027,116,118.41,-2.41,At_Risk
2017-08-06,Hawaiian Islands,19.9122,-155.6683,26.48,8.128,142,142.73,-0.73,Stable
2017-08-12,Hawaiian Islands,19.8876,-155.5819,29.02,8.013,103,116.12,-13.12,At_Risk
2017-08-19,South China Sea,10.0098,114.9511,29.11,7.953,129,116.02,12.98,At_Risk
2017-08-26,Maldives,3.2264,73.2335,29.97,8.104,120,111.09,8.91,At_Risk
2017-09-01,Great Barrier Reef,-18.3791,147.6352,27.56,8.07,137,129.42,7.58,Stable
2017-09-08,South China Sea,9.9637,115.0093,27.37,8.042,110,127.55,-17.55,At_Risk
2017-09-14,Hawaiian Islands,19.8506,-155.6504,27.04,8.132,120,128.79,-8.79,Stable
2017-09-21,Maldives,3.3344,73.2454,28.78,8.002,127,119.16,7.84,At_Risk
2017-09-27,Great Barrier Reef,-18.3159,147.7053,32.34,7.968,98,89.99,8.01,Critical
2017-10-04,Caribbean Sea,14.9648,-75.0017,31.16,7.966,120,98.46,21.54,Critical
2017-10-11,Great Barrier Reef,-18.2517,147.6711,29.45,8.08,119,113.22,5.78,At_Risk
2017-10-17,Red Sea,19.9215,38.4636,28.13,8.054,133,120.73,12.27,At_Risk
2017-10-24,South China Sea,10.0089,114.9332,29.07,8.069,122,116.08,5.92,At_Risk
2017-10-30,Maldives,3.2568,73.2624,29.19,8.033,88,114.08,-26.08,Critical
2017-11-06,Great Barrier Reef,-18.2656,147.7096,28.91,7.978,99,119.28,-20.28,Critical
2017-11-13,Great Barrier Reef,-18.2344,147.6972,29.52,8.031,110,112.53,-2.53,At_Risk
2017-11-19,Galápagos,-0.9069,-90.9914,28.64,8.024,112,118.41,-6.41,At_Risk
2017-11-26,Hawaiian Islands,19.8813,-155.5717,27.78,8.127,113,125.53,-12.53,Stable
2017-12-02,Galápagos,-0.9631,-90.9876,30.67,8.016,113,101.04,11.96,Critical
2017-12-09,Galápagos,-1.0281,-90.9522,29.83,8.027,122,110.64,11.36,At_Risk
2017-12-15,Great Barrier Reef,-18.313,147.7697,31.95,7.963,78,89.86,-11.86,Critical
2017-12-22,Maldives,3.2755,73.2997,27.72,8.045,123,124.37,-1.37,At_Risk
2017-12-29,South China Sea,9.9328,114.9541,26.99,8.042,134,129.62,4.38,Stable
2018-01-04,Red Sea,20.0117,38.5775,27.0,8.129,131,129.94,1.06,Stable
2018-01-11,Maldives,3.2003,73.2544,26.82,8.103,139,145.03,-6.03,Stable
2018-01-17,Great Barrier Reef,-18.2625,147.7137,32.18,7.944,75,88.3,-13.3,Critical
2018-01-24,Great Barrier Reef,-18.3183,147.6714,27.54,8.129,150,130.51,19.49,Stable
2018-01-31,Red Sea,19.9715,38.4584,29.21,8.008,122,114.31,7.69,At_Risk
2018-02-06,Great Barrier Reef,-18.277,147.6234,30.82,8.093,87,99.6,-12.6,Critical
2018-02-13,Maldives,3.1834,73.235,29.0,8.073,145,116.81,28.19,At_Risk
2018-02-19,Great Barrier Reef,-18.2959,147.6593,26.43,8.055,140,146.84,-6.84,Stable
2018-02-26,Galápagos,-0.8641,-90.9915,28.84,8.042,134,118.39,15.61,At_Risk
2018-03-04,Hawaiian Islands,20.0231,-155.6093,27.77,8.117,137,125.53,11.47,Stable
2018-03-11,Red Sea,20.0923,38.5292,27.96,8.09,142,125.23,16.77,Stable
2018-03-18,Maldives,3.2438,73.2461,30.1,8.076,124,108.72,15.28,At_Risk
2018-03-24,Great Barrier Reef,-18.2547,147.6908,28.72,8.106,105,117.29,-12.29,At_Risk
2018-03-31,Maldives,3.2212,73.201,28.54,8.113,122,117.29,4.71,At_Risk
2018-04-06,Great Barrier Reef,-18.2848,147.6312,29.62,8.06,141,112.04,28.96,At_Risk
2018-04-13,Caribbean Sea,14.9846,-74.989,28.87,8.121,114,117.35,-3.35,At_Risk
2018-04-20,Galápagos,-0.9398,-90.9352,28.78,8.022,120,118.41,1.59,At_Risk
2018-04-26,Hawaiian Islands,19.9505,-155.6341,28.7,8.011,135,118.41,16.59,At_Risk
2018-05-03,Great Barrier Reef,-18.3633,147.6713,29.07,8.117,113,114.68,-1.68,At_Risk
2018-05-09,Great Barrier Reef,-18.3149,147.7933,26.33,7.984,148,148.6,-0.6,Stable
2018-05-16,Maldives,3.1777,73.1696,29.56,8.041,100,112.06,-12.06,Critical
2018-05-23,Hawaiian Islands,19.8328,-155.5392,29.48,8.026,137,113.55,23.45,At_Risk
2018-05-29,Maldives,3.1493,73.1444,27.46,8.068,134,128.27,5.73,Stable
2018-06-05,Maldives,3.1907,73.2383,26.62,8.16,137,142.32,-5.32,Stable
2018-06-11,Great Barrier Reef,-18.2312,147.7163,29.19,8.065,119,114.05,4.95,At_Risk
2018-06-18,Hawaiian Islands,19.9289,-155.5163,28.79,8.08,115,118.16,-3.16,At_Risk
2018-06-24,Hawaiian Islands,19.9688,-155.6166,31.2,7.994,71,98.63,-27.63,Critical
2018-07-01,Hawaiian Islands,19.9032,-155.6169,29.76,7.992,100,111.0,-11.0,Critical
2018-07-08,Caribbean Sea,14.9055,-75.0226,24.86,8.044,167,156.34,10.66,Stable
2018-07-14,Caribbean Sea,15.0393,-74.9787,27.05,8.077,134,128.75,5.25,Stable
2018-07-21,Great Barrier Reef,-18.345,147.7744,29.82,8.013,107,110.64,-3.64,Critical
2018-07-27,South China Sea,10.0104,114.8979,28.13,8.023,108,120.62,-12.62,At_Risk
2018-08-03,Red Sea,19.9859,38.5899,29.46,8.002,118,113.62,4.38,At_Risk
2018-08-10,Hawaiian Islands,19.9668,-155.5366,28.59,8.016,129,118.41,10.59,At_Risk
2018-08-16,Great Barrier Reef,-18.2674,147.744,29.45,8.083,102,113.0,-11.0,At_Risk
2018-08-23,South China Sea,10.0659,115.0099,31.61,7.953,114,94.99,19.01,Critical
2018-08-29,Caribbean Sea,15.0099,-75.0326,27.77,8.048,133,124.93,8.07,At_Risk
2018-09-05,Red Sea,20.0261,38.4713,28.46,8.158,146,116.84,29.16,Stable
2018-09-11,Maldives,3.2246,73.2226,28.68,8.077,102,118.16,-16.16,At_Risk
2018-09-18,Maldives,3.1899,73.1373,29.1,8.07,106,115.65,-9.65,At_Risk
2018-09-25,Hawaiian Islands,19.9755,-155.6441,26.3,8.105,157,145.78,11.22,Stable
2018-10-01,Galápagos,-0.8696,-90.9885,30.12,8.016,101,104.07,-3.07,Critical
2018-10-08,Red Sea,20.0442,38.5326,26.14,8.171,164,144.01,19.99,Stable
2018-10-14,Caribbean Sea,14.9687,-74.9802,29.24,8.048,104,113.92,-9.92,At_Risk
2018-10-21,Great Barrier Reef,-18.3207,147.6979,30.26,8.042,96,102.65,-6.65,Critical
2018-10-28,Caribbean Sea,15.0386,-75.1424,30.22,7.929,97,104.06,-7.06,Critical
2018-11-03,Great Barrier Reef,-18.3431,147.6345,30.24,7.992,107,103.12,3.88,Critical
2018-11-10,Hawaiian Islands,19.8945,-155.5589,28.62,7.984,133,119.22,13.78,At_Risk
2018-11-16,Red Sea,19.9753,38.4222,27.86,8.138,139,125.86,13.14,Stable
2018-11-23,Great Barrier Reef,-18.3045,147.6817,28.02,8.163,130,123.01,6.99,Stable
2018-11-29,Caribbean Sea,15.0215,-74.9485,28.86,8.03,113,118.47,-5.47,At_Risk
2018-12-06,Hawaiian Islands,19.8932,-155.5847,29.59,8.031,120,112.22,7.78,At_Risk
2018-12-13,Hawaiian Islands,19.8928,-155.5789,25.5,8.156,155,146.6,8.4,Stable
2018-12-19,Caribbean Sea,15.0499,-75.1448,31.63,7.98,105,95.12,9.88,Critical
2018-12-26,Red Sea,19.948,38.5306,26.92,8.05,164,141.46,22.54,Stable
2019-01-01,Great Barrier Reef,-18.2966,147.7101,29.81,8.049,109,110.72,-1.72,At_Risk
2019-01-08,South China Sea,10.0182,115.1202,28.41,8.062,136,118.3,17.7,At_Risk
2019-01-15,Red Sea,20.0553,38.5594,29.46,7.974,134,113.8,20.2,At_Risk
2019-01-21,South China Sea,9.9427,115.0151,27.37,8.069,136,127.72,8.28,Stable
2019-01-28,Red Sea,20.0161,38.5211,30.92,8.024,92,98.63,-6.63,Critical
2019-02-03,Great Barrier Reef,-18.2389,147.7587,26.66,8.117,148,142.83,5.17,Stable
2019-02-10,Hawaiian Islands,19.8819,-155.514,28.27,8.061,119,119.77,-0.77,At_Risk
2019-02-17,Red Sea,20.0008,38.4452,26.34,8.173,128,142.07,-14.07,Stable
2019-02-23,Galápagos,-1.0034,-91.0733,27.54,8.003,154,131.05,22.95,Stable
2019-03-02,Galápagos,-0.9033,-91.0,31.88,8.032,81,89.29,-8.29,Critical
2019-03-08,Hawaiian Islands,19.7718,-155.4683,26.42,8.009,156,148.6,7.4,Stable
2019-03-15,Red Sea,20.122,38.5692,29.35,8.063,124,113.7,10.3,At_Risk
2019-03-21,South China Sea,10.0379,115.0141,28.66,8.044,107,118.33,-11.33,At_Risk
2019-03-28,Caribbean Sea,14.986,-75.0846,28.35,8.004,104,118.76,-14.76,At_Risk
2019-04-04,Red Sea,20.009,38.5696,29.88,7.944,91,108.94,-17.94,Critical
2019-04-10,South China Sea,10.047,114.9509,28.16,8.084,108,119.16,-11.16,At_Risk
2019-04-17,Red Sea,20.0053,38.4333,27.6,8.084,105,129.17,-24.17,At_Risk
2019-04-23,Maldives,3.2248,73.2197,29.33,8.045,132,113.72,18.28,At_Risk
2019-04-30,Red Sea,20.0063,38.4785,28.68,8.073,118,118.29,-0.29,At_Risk
2019-05-07,Maldives,3.2048,73.1856,27.51,8.0,156,130.8,25.2,Stable
2019-05-13,Hawaiian Islands,19.8346,-155.6174,27.42,8.116,126,128.92,-2.92,Stable
2019-05-20,Hawaiian Islands,19.9592,-155.6165,28.92,8.0,147,119.46,27.54,At_Risk
2019-05-26,Maldives,3.1434,73.2362,29.45,8.052,107,113.31,-6.31,At_Risk
2019-06-02,Caribbean Sea,14.9935,-74.9978,28.28,8.103,155,119.64,35.36,Stable
2019-06-08,Caribbean Sea,14.9721,-75.0685,28.37,8.182,109,116.64,-7.64,Stable
2019-06-15,Great Barrier Reef,-18.2051,147.7831,27.67,8.095,152,130.97,21.03,Stable
2019-06-22,Red Sea,19.981,38.4898,27.63,8.017,118,128.18,-10.18,At_Risk
2019-06-28,Maldives,3.1416,73.2224,27.35,8.085,108,128.38,-20.38,At_Risk
2019-07-05,Caribbean Sea,15.0165,-74.9583,25.51,8.129,168,147.02,20.98,Stable
2019-07-11,Red Sea,19.9395,38.5836,29.13,8.002,112,114.49,-2.49,At_Risk
2019-07-18,Caribbean Sea,15.0279,-74.9962,29.31,7.988,114,114.24,-0.24,At_Risk
2019-07-25,Caribbean Sea,14.9293,-75.0056,27.14,8.04,152,127.87,24.13,Stable
2019-07-31,Galápagos,-0.8992,-90.9351,26.86,8.067,154,146.29,7.71,Stable
2019-08-07,Great Barrier Reef,-18.28,147.8152,29.09,8.048,109,115.81,-6.81,At_Risk
2019-08-13,South China Sea,10.0067,114.9924,29.56,8.077,97,111.91,-14.91,At_Risk
2019-08-20,Caribbean Sea,14.9334,-75.0918,29.26,7.98,80,114.59,-34.59,Critical
2019-08-26,South China Sea,10.0194,115.1246,28.49,8.092,121,117.95,3.05,At_Risk
2019-09-02,Galápagos,-0.9587,-90.9196,28.06,8.072,129,123.25,5.75,At_Risk
2019-09-09,Great Barrier Reef,-18.3205,147.7488,28.24,8.017,130,119.56,10.44,At_Risk
2019-09-15,Maldives,3.1579,73.2221,28.49,8.105,127,117.95,9.05,At_Risk
2019-09-22,Hawaiian Islands,19.8955,-155.5419,30.59,8.036,99,100.49,-1.49,Critical
2019-09-28,Caribbean Sea,14.9344,-75.0533,28.04,8.029,121,123.23,-2.23,At_Risk
2019-10-05,Galápagos,-0.951,-90.9391,28.39,8.076,122,118.04,3.96,At_Risk
2019-10-12,Caribbean Sea,14.9012,-75.047,28.28,7.994,131,120.73,10.27,At_Risk
2019-10-18,Red Sea,20.0765,38.5609,28.18,8.131,125,118.19,6.81,Stable
2019-10-25,Galápagos,-0.9707,-90.9963,28.05,8.04,127,123.23,3.77,At_Risk
2019-10-31,Caribbean Sea,15.008,-74.9998,29.16,8.096,127,113.7,13.3,At_Risk
2019-11-07,South China Sea,9.9258,114.8723,29.9,7.954,102,110.27,-8.27,Critical
2019-11-13,Caribbean Sea,14.9415,-75.0901,29.31,8.072,103,113.7,-10.7,At_Risk
2019-11-20,Caribbean Sea,14.8704,-75.0273,29.09,7.964,116,116.64,-0.64,At_Risk
2019-11-27,Hawaiian Islands,19.896,-155.5538,28.68,7.998,136,119.22,16.78,At_Risk
2019-12-03,Maldives,3.1949,73.2193,27.1,8.056,120,127.54,-7.54,At_Risk
2019-12-10,South China Sea,9.9914,115.0856,26.44,8.01,162,148.6,13.4,Stable
2019-12-16,Caribbean Sea,14.9895,-75.0335,30.06,7.989,131,109.37,21.63,At_Risk
2019-12-23,South China Sea,10.0339,114.9756,31.74,7.955,98,90.82,7.18,Critical
2019-12-30,Hawaiian Islands,19.9118,-155.5177,30.84,8.005,85,98.55,-13.55,Critical
2020-01-05,Red Sea,20.023,38.4661,31.52,7.996,84,95.14,-11.14,Critical
2020-01-12,South China Sea,10.0092,114.9326,27.04,8.139,124,128.79,-4.79,Stable
2020-01-18,Maldives,3.1505,73.2475,30.28,8.05,117,102.65,14.35,At_Risk
2020-01-25,South China Sea,9.9622,114.9289,30.75,7.989,93,99.48,-6.48,Critical
2020-02-01,Red Sea,20.0664,38.5278,29.18,8.145,103,112.2,-9.2,At_Risk
2020-02-07,Red Sea,20.0464,38.5029,28.9,8.118,123,117.35,5.65,At_Risk
